keys,en,br,es,pr
,,,,
DISCLAIMER1,"This is a free fangame.

It is not affiliated, associated, authorized, endorsed or in any way officially connected with Capcom or any of it's subsidiaries or it's affiliates.

Mega Man X is a property of Capcom.
Please support the official release!","Este jogo é um fangame gratuito.

Ele não é afiliado, associado, autorizado, aprovado ou oficialmente conectado com a Capcom ou qualquer uma de suas subsidiárias.

Mega Man X é propriedade da Capcom.
Apoie os jogos oficiais!","Este es un fangame gratuito.

No está afiliado, asociado, autorizado, respaldado ni de ninguna manera oficialmente conectado con Capcom o cualquiera de sus filiales o afiliados.

Mega Man X es una propiedad de Capcom.
¡Por favor, apoya el lanzamiento oficial!","Este jogo é um fangame gratuito.

Ele não é afiliado, associado, autorizado, aprovado ou oficialmente conectado com a Capcom ou qualquer uma de suas afiliadas.

Mega Man X é propriedade da Capcom.
Apoie os jogos oficiais!"
MADE_BY,A solo project by,Um projeto solo por,Un proyecto hecho solo por,A poha toda feita por:
,,,,
INSPIRED_BY,Inspired by,Inspirado pela,Inspirado por,Inspirado pela
GAME_START,GAME  START,INICIAR JOGO,INICIAR JUEGO,COMEÇAR ESSA PORRA
OPTIONS_START,OPTION MODE,MODO OPÇÕES,MODO DE OPCIONES,MEXER NUNS TRECO
KEYCFG_START,KEY  CONFIG,CONTROLES,CONFIGURAR CONTROLES,CONTROLE ZOADO
,,,,
KEYCFG_ABV,KEYCFG,CONFIG,CONFIG,CONFIG
OPTIONS_ABV,OPTIONS,OPÇÕES,OPCIONES,OPÇÕES
TANK_ABV,SUB.T,SUB.T,SUB.T,SUB.T
X_WPNMENU,X. Buster,X. Buster,X. Buster,Limão
SUNFLOWER_WPNMENU,O. Shield,O. Shield,O. Shield,
ANTONION_WPNMENU,S. Bomb,S. Bomb,S. Bomb,
MANTIS_WPNMENU,D. Arrow,D. Arrow,D. Arrow,
MANOWAR_WPNMENU,T. Dancer,T. Dancer,T. Dancer,
PANDA_WPNMENU,B. Launcher,B. Launcher,B. Launcher,
TRILOBYTE_WPNMENU,C. Bouncer,C. Bouncer,C. Bouncer,
YETI_WPNMENU,D. Diamond,D. Diamond,D. Diamond,
ROOSTER_WPNMENU,F. Dash,F. Dash,F. Dash,
,,,,
YOUGOT_TITLE,You get,Você obteve,Obtienes,Você Afanou
SUNFLOWER_WEAPON,Optic Shield,,,
ANTONION_WEAPON,Squeeze Bomb,,,
MANTIS_WEAPON,Dark Arrow,,,
MANOWAR_WEAPON,Thunder Dancer,,,
PANDA_WEAPON,Blast Launcher,,,
TRILOBYTE_WEAPON,Crystal Bouncer,,,
YETI_WEAPON,Drift Diamond,,,
ROOSTER_WEAPON,Fire Dash,,,
,,,,
OPTIONS_TITLE,OPTIONS,OPÇÕES,OPCIONES,CUIDADO PRA NÃO ZOAR
DT_DASH_OPTION,Double tap dash,Dash 2x pra frente,2x toque para Dash,Isso n é jogo de luta carai
CHARGE_OPTION,Charge fade out,Som Carregar Gradual,Sonido de Carga Gradual,ficar doido com charge
MUSIC_OPTION,Music Volume,Volume da Música,Volumen de la Música,Pôe no máximo
SOUND_OPTION,Sound Volume,Volume dos Sons,Volumen de los Sonidos,Zoada
FPS_OPTION,Target FPS,FPS Alvo,FPS Objetivo,Seu PC não tanka
WSIZE_OPTION,Window Size,Tamanho da Janela,Tamaño de la Ventana,Deixar grandão
FULLSCREEN_OPTION,Fullscreen,Tela Cheia,Pantalla Completa,Cobrir tudo
DEBUG_OPTION,Show Debug,Mostrar Debug,Mostrar Debug,Já vai cheatar né
